text,label,true_emotion,tweet_id
i cant wait to start my life with savannah in an environment that i feel will enrich her life and help her grow into a smart well rounded individual,1,joy,tweet_0
i feel if everybody is on board we ve still got a very talented and good team he said,1,joy,tweet_1
i feel a bit insulted but im guilty too,3,anger,tweet_2
im feeling all impressed with myself for passing and ignoring the fact that i already had nearly words so i havent done all that much today,5,surprise,tweet_3
i feel beloved,2,love,tweet_4
i feel sorry about you because your point of view is indoctrinated by these left wing european historical revisionists textbooks,0,sadness,tweet_5
i really liked the book though it had a lot of good things to say and i thought the story was one in which many people could find enjoyment once they get past feeling shocked about some of the issues that come up,5,surprise,tweet_6
i feel mentally relaxed again,1,joy,tweet_7
i just feel so fucked up,3,anger,tweet_8
i taught me that a true leader follows her heart and works with passion which is why when choosing my personal platform i chose women s empowerment a topic that i feel sincere ardor towards,1,joy,tweet_9
i feel so blessed by that choice,2,love,tweet_10
i remember it all which is right now so i am feeling weird about it now and if i wasnt in the food court i probably run screaming into the bay and try to swim away from the madness,5,surprise,tweet_11
i feel joyful and more blessed,1,joy,tweet_12
i got home on the dot of pm feeling amazed wowed happy buoyant and very lucky,5,surprise,tweet_13
i feel an aching need to prove that i can be,0,sadness,tweet_14
i feel like he s watching quietly because he s resigned he s come to realize that people are going to die and there s nothing he can do about it,0,sadness,tweet_15
i can usually stop before it starts feeling awful,0,sadness,tweet_16
i feel that i am in quite a vicious exacting mood with my books at the moment and if it s not in my mind right i ll spend the whole time whinging mentally whilst reading and picking holes in it,3,anger,tweet_17
i feel like a vicious teenage girl that is lacking sleep,3,anger,tweet_18
i don t wish it hadn t happened because i m a bret hart fan and i feel he was wronged on his way out of the wwf,3,anger,tweet_19
i don t like her and i don t know why and that makes me feel petty,3,anger,tweet_20
i listen to my music a little spirit from the s throwing muses if im really happy or urban dance squad and sash if i feel a little more lively,1,joy,tweet_21
i feel as if anyone who is so supicious of my truth might be someone to be suspicious of themselves,4,fear,tweet_22
i feel that way i purposefully lose sight of what i should be doing and become conveniently distracted by other things,3,anger,tweet_23
i am so overwhelmed by all of the experiences i had and the people i encountered that selfishly i dont want to try and explain because i feel my words are inadequate to capture and convey accurately my pilgrimage,0,sadness,tweet_24
i feel blessed as wishes after i recieved through text and wallposts lt thankyou,2,love,tweet_25
i constantly feel like i should make the way i speak less intelligent than the way i was brought up,1,joy,tweet_26
i remember my shower and the drawn out manner in which i pressed my body up against the wall feeling a listless desperation in feigning the inability to support myself,0,sadness,tweet_27
i am grounded and feel clarity and security in a friendship i can hear a loved one say just about anything and not get hurt or triggered,2,love,tweet_28
i am feeling curious and ready to tackle the shorter days even looking forwards to the longer nights,5,surprise,tweet_29
i feel unwelcome when we can t go inside right away it hurts my feelings,0,sadness,tweet_30
i feel nostalgic and try to recall all the changes brought by the move but the years have been plenty between then and now and my brain cells have aged dramatically since hence very little do i remember about those experiences,2,love,tweet_31
i hover my mouse over the publish post button feeling doubtful or embarrassed ill remember the knitting gorilla and immediately hit click,4,fear,tweet_32
i think i would say that gratitude is an integral part of my soul and i feel that supporting various causes is my way of saying thank you,1,joy,tweet_33
i love this study of the story because whenever i feel overwhelmed or distraught i m reminded that nothing overwhelms god and we are part of a larger scheme of things than our momentary problems may allow,5,surprise,tweet_34
i will probably just be lazy and lounge around the house and possibly go down to the pool depends how im feeling and what i can be bothered to do its my last day off before i go back to work so yeah,3,anger,tweet_35
i had felt that feeling a feeling that i often felt in my teens and i was a bit shaken by it,4,fear,tweet_36
i honestly do have less things stuff than ive had in any previous uprooting and that is some consolation though ill still feel frantic until i am in cliffs embrace,4,fear,tweet_37
i am feeling like a rich man because im in the company of the concert tuner for a major american symphony orchestra,1,joy,tweet_38
i feel so uncomfortable when i m dressed up,4,fear,tweet_39
i always conceal my real true feelings because im afraid of being venerable and taking advantage of because well that happened before and it really destroyed me,4,fear,tweet_40
i feel almost fond of these crass silly and insane people,2,love,tweet_41
i think of you i feel shocked a href http www,5,surprise,tweet_42
i talked to him repeatedly and he says he still loves me just as much but he sees me nonstop when were not at work or doing something else and he says seeing each other so much he doesnt feel he has to be as affectionate as he used to because i know he loves me,2,love,tweet_43
i feel treating me like a naughty school boy because i was doing mph over a temporary speed limit is not the way to garnish public respect,2,love,tweet_44
i currently am feeling distraught at my current class situation as i have never worked with the current population,4,fear,tweet_45
i feel frantic when i,4,fear,tweet_46
i feel extremely gra he hated colonel osborne with all his heart,3,anger,tweet_47
i feel im ugly ugly ugly and ugly now,0,sadness,tweet_48
i felt so inspired dat wen i wake up evry mrning i had dz feeling of wanting to go to schol wich is weird cz i dnt rily use to feel dat b,5,surprise,tweet_49
